District,Village Name
Ahmednagar,Dhokri 
Ahmednagar,Ghotan 
Ahmednagar,vadgaon tandali 
Ahmednagar,davangaon 
Ahmednagar,Wadgaon Shindodi 
Ahmednagar,Pimpri Valan 
Ahmednagar,Sangavi 
Ahmednagar,Madke 
Ahmednagar,Mhasale 
Ahmednagar,Sonoshi 
Ahmednagar,Khirdi Ganesh 
Ahmednagar,Patewadi 
Ahmednagar,Bota 
Ahmednagar,Rajegaon 
Ahmednagar,Shrirampur 
Ahmednagar,Hangewadi 
Ahmednagar,Kharwandi 
Ahmednagar,Kamat Shingave 
Ahmednagar,Shevgaon 
Ahmednagar,Chandgaon 
Ahmednagar,Loni Bk. 
Ahmednagar,NImgaon bk 
Ahmednagar,Handewadi 
Ahmednagar,Kauthe Dhandarphal 
Ahmednagar,Bodhegaon 
Ahmednagar,Ekrukhe 
Ahmednagar,Kendal Kh. 
Ahmednagar,Ambad 
Ahmednagar,Shimpore 
Ahmednagar,Gadewadi 
Ahmednagar,Nimgaon Korhale 
Ahmednagar,Pichadgaon 
Ahmednagar,Astagaon 
Ahmednagar,Deswade 
Ahmednagar,Vangdari 
Ahmednagar,Kolhewadi 
Ahmednagar,Karegaon 
Ahmednagar,Puntamba 
Ahmednagar,Galnimb 
Ahmednagar,Jalgaon 
Ahmednagar,Kukkadwedhe 
Ahmednagar,Jalalpur 
Ahmednagar,Bhamathan 
Ahmednagar,Fatyabad 
Ahmednagar,Khadke 
Ahmednagar,Yelapne 
Ahmednagar,Dhawalpuri 
Ahmednagar,Dighi 
Ahmednagar,Godasewadi (N.V.) 
Ahmednagar,Gondhavani 
Ahmednagar,Dehere 
Ahmednagar,Ukkalgaon 
Ahmednagar,Nimaj 
Ahmednagar,Ratnapur 
Ahmednagar,Ghorpadwadi 
Ahmednagar,Suregaon 
Ahmednagar,Shinganapur 
Ahmednagar,Prabhuwadgaon 
Ahmednagar,kopargaon bet 
Ahmednagar,Dhorsade 
Ahmednagar,sheri 
Ahmednagar,Kalas 
Ahmednagar ,Shinganapur 
Akola,Sasti 
Akola,Talegaon Bazar 
Akola,Patur 
Akola,Mahan 
Akola,Channi 
Akola,Karla Bk. 
Akola,Takli Pote 
Akola,Mahagaon 
Akola,Gaigaon 
Akola,Adgaon Kh. 
Akola,Wadad Bk 
Akola,Jamthi Bk. 
Akola,Khaparwadi Bk. 
Akola,Akolkhed 
Akola,Khandala 
Akola,Chitalwadi 
Akola,Devali 
Akola,Sonori (Bopari) 
Akola,Akola 
Akola,Hendraj 
Akola,Rustamabad 
Akola,Hingani Bk. 
Akola,Patur Nandapur 
Akola,Shamsherpur 
Akola,Deulgaon 
Akola,Wadegaon 
Akola,Parabhavan 
Akola,Dahigaon Awtade 
Akola,Nakhegaon 
Akola,Sirsoli 
Akola,Balapur 
Akola,Alegaon 
Akola,Adgaon Kh 
Akola,Panaj 
Akola,Sukli Nandapur 
Akola,Parad 
Akola,Sukali 
Akola,Kaulkhed 
Akola,Karli 
Akola,Telhara 
Akola,Andura 
Akola,Chondhi 
Akola,Januna  
Akola,Varkhed Waghzadi 
Akola,Nandkhed 
Akola,Wiwara 
Akola,Pimpardoli 
Akola,Digras Bk. 
Akola,Wadi Adampur 
Akola,Tajnapur 
Akola,Edlapur 
Akola,Warur 
Akola,Kherda Bhagai 
Akola,Goregaon Bk 
Akola,Lohari Kh. 
Akola,Batwadi Bk. 
Akola,Akoli Jahangir 
Akola,Davdari 
Akola,Malsoor 
Akola,Dahigaon(avtale) 
Akola,Dagadparwa 
Akola,Talegaon Pr.wadner 
Akola,Saundala 
Akola,Hiwarkhed 
Akola,Vyalla 
Akola,Ugwa 
Akola,shivpur 
Akola,Babhulgaon 
Akola,Danapur 
Akola,Wadgaon Mendhe 
Akola,Kasura 
Akola,Wadali Deshmukh 
Akola,Degaon 
Akola,Belura 
Akola,Para Bhawani 
Akola,Dahigaon Gawande 
Akola,Chandur 
Akola,Gadegaon 
Akola,Masa 
Akola,Pimpri Kh. 
Akola,Umara 
Akola,Warud Bk. 
Akola,Akot 
Akola,Pimpalgaon Chambhare 
Akola,Pimpal Khuta 
Akola,Sadarpur 
Akola,Lamkani 
Akola,Dhanakwadi 
Akola,Raher 
Akola,Barshi Takali 
Akola,Kanshiwani 
Akola,Sukoda 
Akola,Katkheda 
Amravati,Wanoja 
Amravati,Sawanga Vithoba 
Amravati,Chincholi Bk. 
Amravati,Tembhurkheda 
Amravati,Tiwra 
Amravati,Sawanga 
Amravati,Pathrot 
Amravati,Rasegaon 
Amravati,Bhankheda Kh. 
Amravati,Chincholi 
Amravati,Nimbhora Delwadi 
Amravati,Nimboli 
Amravati,Jalka Jagtap      
Amravati,Yawali 
Amravati,Chausala 
Amravati,Amravati 
Amravati,Mahuli jahangir 
Amravati,Ghuikhed 
Amravati,Kurha 
Amravati,Talvel 
Amravati,Haidatpur 
Amravati,Bhandaraj 
Amravati,Porgavhan 
Amravati,Wasani   Kh. 
Amravati,Naygaon 
Amravati,Warha 
Amravati,Daryapur 
Amravati,Pimpri Nipani 
Amravati,Achalpur 
Amravati,Pimpri Thugaon 
Amravati,Kamnapur 
Amravati,Zolamba 
Amravati,Kumagad 
Amravati,Pimpri Pochchha 
Amravati,Shirajgaon 
Amravati,Wani 
Amravati,Borgaon Mohna 
Amravati,Shirajgaon  Kasba 
Amravati,Dhakulgaon 
Amravati,Dhamangaon Gadhi 
Amravati,Rajura Bajar 
Amravati,Pimpalkhuta 
Amravati,Shingori 
Amravati,Brahmanwada Thadi 
Amravati,Borala 
Amravati,Linga 
Amravati,Belaj 
Amravati,Chincholi Gavali 
Amravati,Ramapur N Belaj 
Amravati,Kawtha Kadu 
Amravati,Jalnapur 
Amravati,Isegaon 
Amravati,Dighi Jahanpur 
Amravati,Karajgaon 
Amravati,Jarud 
Amravati,Yenas 
Amravati,Amravati City 
Amravati,Jahangirpur 
Amravati,Akhatwada 
Amravati,Surali 
Amravati,Dawargaon 
Amravati,Kholapur 
Amravati,Sategaon 
Amravati,Vishnora 
Amravati,Jawarakamanapur 
Amravati,Warud 
Amravati,Walgaon 
Amravati,Dhamangaon Railway 
Amravati,Pusner 
Amravati,Sindi  Bk 
Amravati,Badnera 
Amravati,Pimpalgaon (Bainai) 
Amravati,Titwa 
Amravati,Marda 
Amravati ,khairi 
Aurangabad,Andhaner 
Aurangabad,Navadi (N.V.) 
Aurangabad,Zodegaon 
Aurangabad,Wadner Tanda 
Aurangabad,Wahegaon 
Aurangabad,Chinchkheda Bk. 
Aurangabad,Satana 
Aurangabad,Aurangabad City 
Aurangabad,Karanjkheda Jahagir 
Aurangabad,Aurangpurwadi 
Aurangabad,Chinchala 
Aurangabad,Gudhe Pimpalgaon 
Aurangabad,Chanakwadi 
Aurangabad,Amba 
Aurangabad,Jalgaon Feran 
Aurangabad,Khadak Waghalgaon 
Aurangabad,Naigavhan 
Aurangabad,Padali 
Aurangabad,Pangra 
Aurangabad,Shindephal 
Aurangabad,Chenduphal 
Aurangabad,Hanumantkheda 
Aurangabad,Bahirgaon 
Aurangabad,Mohadi 
Aurangabad,Chorwaghalgaon 
Aurangabad,Lohagaon Bk. 
Aurangabad,Hanumantgaon 
Aurangabad,Nilajgaon 
Aurangabad,Borgaon Sarwani 
Aurangabad,Pishor 
Aurangabad,Nagonyachiwadi 
Aurangabad,Malegaon 
Aurangabad,Khamjalgaon 
Aurangabad,Chauryahattar Jalgaon 
Aurangabad,Akhatwada 
Aurangabad,Nagad 
Aurangabad,Warudi Bk. 
Aurangabad,Siddhapur 
Aurangabad,Mahalgaon 
Aurangabad,Tuljapur 
Aurangabad,Gandheshwar 
Aurangabad,Harshi Kh. 
Aurangabad,Kapus Wadgaon 
Aurangabad,Akoli Wadgaon 
Aurangabad,Ghatshendra 
Aurangabad,Chandapur 
Aurangabad,Sawkhed Ganga 
Aurangabad,Nanegaon 
Aurangabad,Takali 
Aurangabad,Chinchadgaon 
Aurangabad,Waki Jadid 
Aurangabad,Aurangpur 
Aurangabad,Borgaon 
Aurangabad,Madni 
Aurangabad,Wadwali 
Aurangabad,Bodkha 
Aurangabad,Digaon 
Aurangabad,Gaurpimpri 
Aurangabad,Wadgaon (Tigji) 
Aurangabad,Lohagaon Kh. 
Aurangabad,Kannad 
Aurangabad,Jamthi 
Aurangabad,Shivrai 
Aurangabad,Hasta 
Aurangabad,Nagad Tanda 
Aurangabad,Palaswadi 
Aurangabad,Bharamba (bharanbawadi) 
Aurangabad,Bhopewadi 
Aurangabad,Panvi Bk. 
Aurangabad,Wakikadim 
Aurangabad,Umberkheda Tanda 
Aurangabad,Ambhai 
Aurangabad,Bhendala 
Aurangabad,Hatnoor 
Aurangabad,Changatpuri 
Aurangabad,Karanjkheda Khalsa 
Aurangabad,Mahalpimpri 
Aurangabad,Adgaon Jehur 
Aurangabad,Pendgaon (Amthana) 
Aurangabad,Nagapur 
Aurangabad,Newpur Jahangir 
Aurangabad,Ghari 
Aurangabad,Pimpalwadi(pirachi) 
Aurangabad,Bramhni 
Aurangabad,Bhatana 
Aurangabad,Liha Khedi 
Aurangabad,Adool Bk. 
Aurangabad,Hiwarkheda (Gautala) 
Aurangabad,Amrapur 
Aurangabad,Bhiw-dhanora 
Aurangabad,Mangrul 
Aurangabad,Nimkheda 
Aurangabad,Warthan 
Aurangabad,Janephal 
Aurangabad,Wakad 
Aurangabad,Naigaon 
Aurangabad,Lohagaon 
Aurangabad,Kinhi 
Aurangabad,Amkheda 
Aurangabad,Gharegaon 
Aurangabad,Ambala 
Aurangabad,Bahuli 
Aurangabad,Jehur 
Aurangabad,Mhaski 
Aurangabad,Anandpur 
Aurangabad,Guru Dhanora 
Aurangabad,Kankori 
Aurangabad,Talner 
Aurangabad,Sasurwada 
Aurangabad,Wanjargaon 
Aurangabad,Mundwadi 
Aurangabad,Charner 
Aurangabad,Soegaon 
Aurangabad,Sawargaon 
Aurangabad,Tisgaon Tanda 
Aurangabad,Kelgaon 
Aurangabad,Satkund Tanda 
Aurangabad,Agar Kanadgaon 
Aurangabad,Narayangaon 
Aurangabad,Palshi 
Aurangabad,Sirsala Tanda 
Aurangabad,Newpur Khalsa 
Aurangabad,Borodi 
Aurangabad,Dharla 
Aurangabad,Daregaon 
Aurangabad,Chinchkheda Kh. 
Aurangabad,Shivar 
Aurangabad,Phulambri 
Aurangabad,Ghodegaon 
Aurangabad,Bojgaon 
Aurangabad,Jawakheda Bk. 
Aurangabad,Nevargaon 
Aurangabad,Dighi 
Aurangabad,Nimbhora 
Aurangabad,Amthana 
Aurangabad,Ladgaon 
Aurangabad,Katpur 
Aurangabad,Navgaon 
Aurangabad,Andhari 
Aurangabad,Kolaswadi 
Aurangabad,Ghatnandra 
Beed,Talanewadi 
Beed,Surdi 
Beed,Khokermoha 
Beed,Beed 
Beed,Karegaon 
Beed,Naholi 
Beed,Gaikwad Jalgaon 
Beed,Wadkhel 
Beed,Kille Dharur  
Beed,Mhatargaon 
Beed,Sirasdevi 
Beed,Kanhobachiwadi 
Beed,Parbhani 
Beed,Bhatwadgaon 
Beed,Khandvi 
Beed,Dhangarwadi 
Beed,Chinchala 
Beed,Bhandarwadi 
Beed,Takalsing 
Beed,Surdi BK. 
Beed,Kaudgaon Bk. 
Beed,Goundgaon 
Beed,Bhaloni 
Beed,Limba Ganesh 
Beed,Kuranpimpri 
Beed,Pandhari 
Beed,Abegaon 
Beed,Ambil Wadgaon 
Beed,Anpatwadi 
Beed,Marathwadi 
Beed,Raheri 
Beed,Ghatshil Pargaon 
Beed,Bhandarwadi      
Beed,Kingaon 
Beed,Takli 
Beed,Gulaj 
Beed,Nathra 
Beed,Khadewadi 
Beed,Parli (rural) 
Beed,Rajapur 
Beed,Tadsonna 
Beed,Rakshas Bhuwan 
Beed,Shelgaon Thadi 
Beed,Panchaleshwar 
Beed,Devgaon 
Beed,Manubai Jawala 
Beed,Chaklamba 
Beed,Jawalgaon 
Beed,Dhondrai 
Beed,Ghagarwada 
Beed,Ladzari 
Beed,Rajpimpri 
Beed,Gogalwadi 
Beed,Surumgaon 
Beed,Awasgaon 
Beed,Koyal 
Beed,Rakshasabhuwan 
Beed,Pimpalwadi 
Beed,Limbgaon 
Beed,Kacharwadi 
Beed,Hingani bk 
Beed,Rajuri Bk.(Navgan) 
Beed,Nathapur 
Beed,Tandala 
Beed,Georai 
Beed,Patoda 
Beed,Belgaon 
Beed,Limbarui (Devi) 
Beed,Umapur 
Beed,Aher Vahegaon 
Beed,Chavhanwadi 
Beed,Deogaon 
Beed,Takalgavhan tarf talkhed 
Beed,Asardhav 
Beed,Poitanda (N.V.) 
Beed,Majalgaon 
Bhandara,Mokhara 
Bhandara,Kandri 
Bhandara,Bramhi 
Bhandara,Silli 
Bhandara,Murmadi 
Bhandara,Neri 
Bhandara,Rajegaon 
Bhandara,Soni 
Bhandara,Malutola 
Bhandara,Roha 
Bhandara,Yenoda 
Bhandara,Dhamlewada 
Bhandara,Chandpur 
Bhandara,Panjara (renjepar) 
Bhandara,Rajani 
Bhandara,Khandal 
Bhandara,Bamhani 
Bhandara,Samewada 
Bhandara,Betala 
Bhandara,Pauni 
Bhandara,Virali (Khandar) 
Bhandara,Garada Jangli 
Bhandara,Bhendara 
Bhandara,Kharbi 
Bhandara,Hirapur Hamesha 
Bhandara,Takali (Bhosa) 
Bhandara,Mangli 
Bhandara,Morgaon 
Bhandara,Gadegaon 
Bhandara,Sukali 
Buldhana,Maharchikna 
Buldhana,Kavhala 
Buldhana,Sungaon 
Buldhana,Madakhed Bk. 
Buldhana,Shemba Bk. 
Buldhana,Palshi Bk 
Buldhana,Ukali 
Buldhana,Sindkhed Raja 
Buldhana,Harsoda 
Buldhana,Dudhalgaon BK. 
Buldhana,Burti 
Buldhana,Tunki Bk. 
Buldhana,Takarkhed Helga 
Buldhana,Karatwadi 
Buldhana,Ghatbori 
Buldhana,Datala 
Buldhana,Jaipur 
Buldhana,Pimpalgaon Raja 
Buldhana,Pimpalkhuta 
Buldhana,Chikhli 
Buldhana,Bawanbir 
Buldhana,Jalgaon (Jamod) 
Buldhana,Sawargaon Mundhe 
Buldhana,Asalgaon 
Buldhana,Dhamangaon Deshmukh 
Buldhana,Malkapur 
Buldhana,Hingana Gavhad 
Buldhana,Khumgaon 
Buldhana,Palshi Zasi 
Buldhana,Ancharwadi 
Buldhana,Bhalgaon 
Buldhana,Aregaon 
Buldhana,Dahid Kh. 
Buldhana,Kesapur 
Buldhana,Kumbefal 
Buldhana,Sagoda 
Buldhana,Shelgaon  Deshmukh 
Buldhana,Fardapur 
Buldhana,Dhamangaon Badhe 
Buldhana,Weni 
Buldhana,Mominabad 
Buldhana,Takli (Watpal) 
Buldhana,Bhosa 
Buldhana,Palsoda 
Buldhana,Sangrampur 
Buldhana,Saokhed Bhoi 
Buldhana,Shahapur 
Buldhana,Rajgad 
Buldhana,Gharod 
Buldhana,Jambhora 
Buldhana,Pimpri Mali 
Buldhana,Haralkhed 
Buldhana,Palaskhed  Daulat 
Buldhana,Paturda Bk 
Buldhana,Shemba Kh. 
Buldhana,Waghud 
Buldhana,Shara 
Buldhana,Khor 
Buldhana,Gotmara 
Buldhana,Jawala Bk. 
Buldhana,Chalthana Siyam 
Buldhana,Karegaon 
Buldhana,Bhumrala 
Buldhana,Kalambeshwar 
Buldhana,Chandol 
Buldhana,Hirdav 
Buldhana,Wadali 
Buldhana,Mandapgaon 
Buldhana,Chincholi Karfarma 
Buldhana,Kingaon Raja 
Buldhana,Pimpalgaon Kale 
Buldhana,Warwand 
Buldhana,Warud 
Buldhana,Bhorse 
Buldhana,Kakanwada Bk. 
Buldhana,Narwel 
Buldhana,Gadagaon  Kh. 
Buldhana,Deulgaon Sakarasha 
Buldhana,Dastapur 
Buldhana,Peth 
Buldhana,Wankhed 
Chandrapur,Manora 
Chandrapur,Kag 
Chandrapur,Kodsi Bk. 
Chandrapur,Welwa Mal 
Chandrapur,Katwal Bhagat 
Chandrapur,Nokari(Palgaon) 
Chandrapur,Palasgaon Jat 
Chandrapur,Belsani 
Chandrapur,Bramhapuri 
Chandrapur,Khangaon 
Chandrapur,Baradkinhi 
Chandrapur,Bothali 
Chandrapur,Chandrapur 
Chandrapur,Shengaon 
Chandrapur,kavitpeth 
Chandrapur,Chikhalgaon 
Chandrapur,Bodakha 
Chandrapur,Sathgaon 
Chandrapur,Kawadjai 
Chandrapur,Junasurla 
Chandrapur,Wagheda 
Chandrapur,Pimpalgaon 
Chandrapur,chintaldhaba 
Chandrapur,Chunala 
Chandrapur,Chindhi Raiyyatwari 
Chandrapur,Arvi 
Chandrapur,Navegaon Pandav 
Chandrapur,Bhatali 
Chandrapur,Palasgaon 
Chandrapur,Chargaon Kh. 
Chandrapur,Chimur 
Chandrapur,Sonegaon 
Chandrapur,Takli 
Chandrapur,Ambholi 
Chandrapur,Maraipatann 
Chandrapur,Wejgaon 
Chandrapur,Kolari 
Chandrapur,Mursa 
Chandrapur,Chargaon Bk. 
Chandrapur,Bhadrawati 
Chandrapur,Nagari 
Chandrapur,Parsodi 
Chandrapur,Pandharwani 
Chandrapur,"Borda (Radhanagri, Netaji highschool behind) "
Chandrapur,Haramba 
Chandrapur,Talodhi 
Chandrapur,Madhali 
Chandrapur,Madnapur 
Chandrapur,Kachepar 
Chandrapur,Ladaj 
Chandrapur,Urjanagar 
Chandrapur,Warora 
Chandrapur,Chargaon 
Chandrapur,Khokari 
Chandrapur,Kasawal 
Chandrapur ,Chandrapur 
Dhule,Hodadane 
Dhule,Warse 
Dhule,Nawadane 
Dhule,Chilare 
Dhule,Karvand 
Dhule,Shirdane  Pr.ner 
Dhule,Burzad 
Dhule,Vikharan Bk. 
Dhule,Behed 
Dhule,Deobhane 
Dhule,Arvi 
Dhule,Shewali (D ) 
Dhule,Kapadne 
Dhule,Ichchapur 
Dhule,Shewadi 
Dhule,Bopkhel 
Dhule,Malpur 
Dhule,Dhamnar  
Dhule,Takarkhede 
Dhule,Chhadwel (korde) 
Dhule,Kawathi 
Dhule,Dondaicha 
Dhule,Pimpalner 
Dhule,Boris 
Dhule,Tembhe Bk. 
Dhule,Tisgaon 
Dhule,Nandale Bk. 
Dhule,Tarhad (Kasbe) 
Dhule,Bhadane 
Dhule,Gangapur 
Dhule,Kasare 
Dhule,Khalane 
Dhule,Navapada (bra) 
Dhule,Nandwan 
Dhule,Dhamnar 
Dhule,Shudrapala 
Dhule,Rohane 
Dhule,Vanaval 
Dhule,Ubhand 
Dhule,Dusane 
Dhule,Palasner 
Dhule,Tekwade 
Dhule,Bramhanwel 
Dhule,Balkuwe 
Dhule,Shirud 
Dhule,Ner 
Dhule,Tamthre 
Dhule,Nimdale 
Dhule,Khamkhede Pr. Ambe 
Dhule,Datarti 
Dhule,Nikumbhe 
Dhule,New Boradi 
Dhule,Thalner 
Dhule,Shindkhede 
Dhule,Khargaon 
Dhule,Chaugaon 
Dhule,Tavkhede P.b. 
Dhule,Sayyadnagar 
Dhule,Kaldar 
Dhule,Dighawe 
Dhule,Arthe Kh. 
Dhule,Mandane 
Dhule,Hatti Kh. 
Dhule,Kokale 
Dhule,Lamkani 
Dhule,Dhaner 
Dhule,Dhamane 
Dhule,Pimpalenr 
Dhule,Wadne 
Dhule,Untawad 
Dhule,Ghodasgaon 
Dhule,Hisale 
Dhule,Udane 
Dhule,Kodid 
Dhule,Babhulde 
Dhule,Shirpur 
Dhule,Manjari 
Dhule,Waghadi 
Dhule,Kalkhede 
Dhule,Purmepada 
Dhule,Dhule 
Dhule,Bhondgaon 
Dhule,Virdel 
Dhule,Nagaon Bk. 
Dhule,Nijampur 
Dhule,Bodgaon 
Dhule,khamkheda 
Dhule,Pilode 
Gadchiroli,Wasa 
Gadchiroli,Kitadi 
Gadchiroli,Deulgaon 
Gadchiroli,Shioni Bk 
Gadchiroli,Ganeshpur Chak 
Gondia,Meghatola 
Gondia,Kudwa 
Gondia,Gondia 
Gondia,Maramjob 
Gondia,Bangaon 
Gondia,Lendezari 
Gondia,Bharnoli 
Gondia,Dinkarnagar 
Hingoli,Jod Pimpri 
Hingoli,Sayala 
Hingoli,Idoli 
Hingoli,Kawadi 
Hingoli,Pardi kh 
Hingoli,Jamgavhan (8007262672) 
Hingoli,Chincholi 
Hingoli,Asola Traf Aundha 
Hingoli,Lahan 
Hingoli,Pangra shinde 
Hingoli,Surajkheda 
Hingoli,Thorava 
Hingoli,Takli Tarf Nandapur 
Hingoli,Uti Purna 
Hingoli,Khudaj 
Hingoli,Walki 
Hingoli,Jawala bajar 
Hingoli,Palshi 
Hingoli,Jamgavhan 
Hingoli,Dongarkada 
Hingoli,Malselu 
Hingoli,Salegaon 
Hingoli,Kapadsingi 
Hingoli,Hingoli 
Hingoli,Kelsula 
Hingoli,Aundha Nagnath 
Hingoli,Bhandegaon 
Hingoli,Kanhegaon 
Hingoli,Khudaj (9403218207) 
Hingoli,Kurunda 
Hingoli,Hiradgaon 
Hingoli,Babhali 
Hingoli,Ada 
Hingoli,Tapowan 
Hingoli,Jawala Bk. 
Hingoli,Shiwani Kh. 
Hingoli,Pardi[Sawali] 
Hingoli,Jamdaya 
Hingoli,Harwadi 
Hingoli,Waghjali 
Hingoli,Jamthi Kh. 
Hingoli,Dhangarwadi 
Hingoli,Kasabe dhawanda 
Jalgaon,Sangvi Bk 
Jalgaon,Takali Bk. 
Jalgaon,Hatale 
Jalgaon,Virwade 
Jalgaon,Raver 
Jalgaon,M.J.College Jalgaon 
Jalgaon,Tawase kh 
Jalgaon,Bhagadare 
Jalgaon,Jamner 
Jalgaon,Mhasve 
Jalgaon,Anturli Kh.Pr.Pachora 
Jalgaon,Lumkhede 
Jalgaon,Vardi 
Jalgaon,Shirsoli P.B. 
Jalgaon,Ravanje Bk. 
Jalgaon,Dondvade 
Jalgaon,Vikharan 
Jalgaon,Chikhali 
Jalgaon,Patonda 
Jalgaon,Songaon (N.V.) 
Jalgaon,Akulkhede 
Jalgaon,Chopda 
Jalgaon,Hatede Bk. 
Jalgaon,Talegaon 
Jalgaon,Balad Bk. 
Jalgaon,Lohatar 
Jalgaon,Chinchkhede Seem 
Jalgaon,Mehunbare 
Jalgaon,Tawase Bk. 
Jalgaon,Kasoda 
Jalgaon,Kolgaon 
Jalgaon,Kurhe 
Jalgaon,Tornala 
Jalgaon,Manur Bk. 
Jalgaon,Visapur tanda 
Jalgaon,Khedi bhokar 
Jalgaon,Salve 
Jalgaon,Shirsode 
Jalgaon,Nashirabad 
Jalgaon,Ghankhede 
Jalgaon,Gudhe 
Jalgaon,Hirapur 
Jalgaon,Chitode 
Jalgaon,Godri 
Jalgaon,Nanded 
Jalgaon,Satod Pr Yawal 
Jalgaon,Kalkhede 
Jalgaon,Londhe 
Jalgaon,Rigaon 
Jalgaon,Neri Bk. 
Jalgaon,Ichhapur 
Jalgaon,Shelwad 
Jalgaon,Nadgaon 
Jalgaon,Shivare Digar 
Jalgaon,Bilwadi 
Jalgaon,Bamhne 
Jalgaon,Kapuswadi 
Jalgaon,Tekwade Bk. 
Jalgaon,Pimpalkothe Pr. Chandsar 
Jalgaon,Wakadi 
Jalgaon,Waghale 
Jalgaon,Morgaon Kh. 
Jalgaon,Mhasawad 
Jalgaon,Bhagdara 
Jalgaon,Nagan Kh 
Jalgaon,Ghodgaon 
Jalgaon,Pimpalgaon Bk. 
Jalgaon,Samrod 
Jalgaon,Avhane 
